2023-04-10 14:37:48.859 [info] Log level: Info
2023-04-10 14:37:48.859 [info] Validating found git in: "git"
2023-04-10 14:37:48.859 [info] Using git "2.25.1" from "git"
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [39ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [19ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [1ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [1ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [7ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [4ms]
2023-04-10 14:37:48.859 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:38:03.368 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:38:17.477 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:38:26.208 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:38:36.601 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:38:45.020 [info] > git rev-parse --show-toplevel [4ms]
2023-04-10 14:39:13.084 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:39:26.205 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:39:29.976 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:40:16.108 [info] > git rev-parse --show-toplevel [4ms]
2023-04-10 14:40:41.803 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:40:59.625 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:41:00.982 [info] > git rev-parse --show-toplevel [5ms]
2023-04-10 14:41:24.750 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:41:28.358 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:42:00.435 [info] > git rev-parse --show-toplevel [4ms]
2023-04-10 14:42:35.047 [info] > git rev-parse --show-toplevel [8ms]
2023-04-10 14:43:58.059 [info] > git rev-parse --show-toplevel [7ms]
2023-04-10 14:44:11.153 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:44:12.595 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:44:31.821 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:44:41.749 [info] > git rev-parse --show-toplevel [2ms]
2023-04-10 14:45:05.833 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:45:11.732 [info] > git rev-parse --show-toplevel [4ms]
2023-04-10 14:46:32.398 [info] > git rev-parse --show-toplevel [3ms]
2023-04-10 14:47:08.401 [info] > git rev-parse --show-toplevel [2ms]
